Optimizador,Función de activación,Épocas promedio,ECM Promedio,ECM_original Promedio
SGD,tanh,64.25,1.614351788163185,51521809.67878321
SGD,sigmoid,15.0,1.677845823764801,48021329.82493236
SGD,ReLU,15.0,1.6577143311500548,47704926.751235366
SGD,LeakyReLU,15.0,1.9026903986930848,65037497.53806169
RMSPROP,tanh,15.0,1.1747357606887818,45169366.92689248
RMSPROP,sigmoid,15.0,1.6793455004692077,55415577.42157102
RMSPROP,ReLU,15.0,1.3565034329891206,52628818.08699885
RMSPROP,LeakyReLU,15.0,1.1961058527231216,51481329.10071564
ADAM,tanh,15.0,1.2795292526483535,51428772.270891026
ADAM,sigmoid,15.0,1.688762015104294,57534605.78414267
ADAM,ReLU,15.0,1.2777805984020234,42648970.02779825
ADAM,LeakyReLU,15.0,1.5704957395792007,89444906.7512487
